EID,GPU Duration (µs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
951,0.00,82944,27648,0,27648,8010,307223,19668,0,0,0,0,0
952,0.00,87552,29184,0,29184,12510,3014822,20730,0,0,0,0,0
953,0.00,87552,29184,0,29184,12533,1576296,20730,0,0,0,0,0
954,0.00,82944,27648,0,27648,5903,28078,19668,0,0,0,0,0
955,0.00,87552,29184,0,29184,5636,8480,20730,0,0,0,0,0
956,0.00,82944,27648,0,27648,8193,157887,19668,0,0,0,0,0
957,0.00,87552,29184,0,29184,6991,36428,20730,0,0,0,0,0
958,0.00,82944,27648,0,27648,6041,8929,19668,0,0,0,0,0
959,0.00,87552,29184,0,29184,5898,7477,20730,0,0,0,0,0
960,0.00,144,48,0,48,20,871,96,0,0,0,0,0
961,6.12,89226,29742,0,29742,3045,2423,21660,0,0,0,0,0
962,3.08,144,48,0,48,32,8125,96,0,0,0,0,0
963,6.28,89226,29742,0,29742,5201,27330,21618,0,0,0,0,0
964,3.16,144,48,0,48,32,7771,96,0,0,0,0,0
965,6.36,89226,29742,0,29742,5211,32249,21660,0,0,0,0,0
966,3.04,144,48,0,48,20,725,96,0,0,0,0,0
967,6.28,89226,29742,0,29742,3095,3189,21618,0,0,0,0,0
968,5.12,8424,2808,0,2808,1832,312942,3198,0,0,0,0,0
969,6.12,39798,13266,0,13266,4310,167485,9462,0,0,0,0,0
970,5.36,8424,2808,0,2808,1685,337384,3198,0,0,0,0,0
971,6.08,39798,13266,0,13266,4108,137920,9462,0,0,0,0,0
972,3.80,8424,2808,0,2808,708,6880,3198,0,0,0,0,0
973,4.12,39798,13266,0,13266,2459,8532,9462,0,0,0,0,0
974,3.76,7200,2400,0,2400,463,4035,2700,0,0,0,0,0
975,4.40,39798,13266,0,13266,2325,5638,9462,0,0,0,0,0
976,3.64,7200,2400,0,2400,475,1555,2700,0,0,0,0,0
